"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RED_IZO";"IČO";"Zřizovatel";"Území";"ORP";"Plný název";"Zkrácený název";"Ulice";"č.p.";"č.or.";"č.obce";"PSČ";"Místo";"Telefon";"Fax";"Email 1";"Email 2";"WWW";"Ředitel";"IZO";"Typ";"Druh/typ";"Ulice";"č.p.";"č.or.";"č.obce";"PSČ";"Místo";"Kapacita"
"600010368";"18383696";"7";"CZ0422";"4203";"Střední škola technická, gastronomická a automobilní, Chomutov, příspěvková organizace";"SŠ technická, gastronom. a automobilní";"Pražská";"702";"10";"Chomutov";"43001";"Chomutov";"474 651 849";"474 651 848";"tgacv@tgacv.cz";"";"http://www.tgacv.cz";"Ing. Václav Sailer";"181034638";"H21";"Internát";"Jezerská";"272";"";"Jirkov";"43111";"Jirkov";"186"
"600010368";"18383696";"7";"CZ0422";"4203";"Střední škola technická, gastronomická a automobilní, Chomutov, příspěvková organizace";"SŠ technická, gastronom. a automobilní";"Pražská";"702";"10";"Chomutov";"43001";"Chomutov";"474 651 849";"474 651 848";"tgacv@tgacv.cz";"";"http://www.tgacv.cz";"Ing. Václav Sailer";"181034646";"H22";"Domov mládeže";"Jirkovská";"119";"";"Údlice";"43141";"Údlice";"256"
"600010368";"18383696";"7";"CZ0422";"4203";"Střední škola technická, gastronomická a automobilní, Chomutov, příspěvková organizace";"SŠ technická, gastronom. a automobilní";"Pražská";"702";"10";"Chomutov";"43001";"Chomutov";"474 651 849";"474 651 848";"tgacv@tgacv.cz";"";"http://www.tgacv.cz";"Ing. Václav Sailer";"181034654";"L11";"Školní jídelna";"Jirkovská";"119";"";"Údlice";"43141";"Údlice";"1450"
"600010678";"82554";"7";"CZ0513";"5102";"Střední škola hospodářská a lesnická, Frýdlant, Bělíkova 1387, příspěvková organizace";"SŠ hospod.a les.,příspěvková organizace";"Bělíkova";"1387";"";"Frýdlant";"46401";"Frýdlant";"482 428 861";"482 312 238";"info@sshlfrydlant.cz";"alena.dvorakova@sshlfrydlant.cz";"http://www.sshlfrydlant.cz";"Ing. Alena Dvořáková";"107850532";"C00";"Střední škola";"Bělíkova";"1387";"";"Frýdlant";"46401";"Frýdlant";"1000"
"600010678";"82554";"7";"CZ0513";"5102";"Střední škola hospodářská a lesnická, Frýdlant, Bělíkova 1387, příspěvková organizace";"SŠ hospod.a les.,příspěvková organizace";"Bělíkova";"1387";"";"Frýdlant";"46401";"Frýdlant";"482 428 861";"482 312 238";"info@sshlfrydlant.cz";"alena.dvorakova@sshlfrydlant.cz";"http://www.sshlfrydlant.cz";"Ing. Alena Dvořáková";"110015690";"H22";"Domov mládeže";"Bělíkova";"1387";"";"Frýdlant";"46401";"Frýdlant";"135"
"600010678";"82554";"7";"CZ0513";"5102";"Střední škola hospodářská a lesnická, Frýdlant, Bělíkova 1387, příspěvková organizace";"SŠ hospod.a les.,příspěvková organizace";"Bělíkova";"1387";"";"Frýdlant";"46401";"Frýdlant";"482 428 861";"482 312 238";"info@sshlfrydlant.cz";"alena.dvorakova@sshlfrydlant.cz";"http://www.sshlfrydlant.cz";"Ing. Alena Dvořáková";"110015681";"L11";"Školní jídelna";"Bělíkova";"1387";"";"Frýdlant";"46401";"Frýdlant";"900"
"600010678";"82554";"7";"CZ0513";"5102";"Střední škola hospodářská a lesnická, Frýdlant, Bělíkova 1387, příspěvková organizace";"SŠ hospod.a les.,příspěvková organizace";"Bělíkova";"1387";"";"Frýdlant";"46401";"Frýdlant";"482 428 861";"482 312 238";"info@sshlfrydlant.cz";"alena.dvorakova@sshlfrydlant.cz";"http://www.sshlfrydlant.cz";"Ing. Alena Dvořáková";"181044854";"L13";"Školní jídelna - výdejna";"Mládeže";"885";"";"Frýdlant";"46401";"Frýdlant";"180"
"600010678";"82554";"7";"CZ0513";"5102";"Střední škola hospodářská a lesnická, Frýdlant, Bělíkova 1387, příspěvková organizace";"SŠ hospod.a les.,příspěvková organizace";"Bělíkova";"1387";"";"Frýdlant";"46401";"Frýdlant";"482 428 861";"482 312 238";"info@sshlfrydlant.cz";"alena.dvorakova@sshlfrydlant.cz";"http://www.sshlfrydlant.cz";"Ing. Alena Dvořáková";"81671";"M30";"Školní statek";"Zámecká";"4005";"";"Frýdlant";"46401";"Frýdlant";"200"
"600011429";"82627";"7";"CZ0427";"4214";"Střední škola obchodu, řemesel, služeb a Základní škola, Ústí nad Labem, příspěvková organizace";"SŠ obchodu, řemesel, služeb a ZŠ";"Keplerova";"315";"7";"Krásné Březno";"40007";"Ústí nad Labem";"475 669 150";"475 620 268";"reditel@obchodniskola.cz";"ekonom@obchodniskola.cz";"http://www.obchodniskola.cz";"Mgr. Pavel Caitaml";"102517576";"B00";"Základní škola";"Fügnerova";"348";"22";"Trmice";"40004";"Trmice";"300"
"600011429";"82627";"7";"CZ0427";"4214";"Střední škola obchodu, řemesel, služeb a Základní škola, Ústí nad Labem, příspěvková organizace";"SŠ obchodu, řemesel, služeb a ZŠ";"Keplerova";"315";"7";"Krásné Březno";"40007";"Ústí nad Labem";"475 669 150";"475 620 268";"reditel@obchodniskola.cz";"ekonom@obchodniskola.cz";"http://www.obchodniskola.cz";"Mgr. Pavel Caitaml";"82627";"C00";"Střední škola";"Keplerova";"315";"7";"Krásné Březno";"40007";"Ústí nad Labem";"1236"
"600011429";"82627";"7";"CZ0427";"4214";"Střední škola obchodu, řemesel, služeb a Základní škola, Ústí nad Labem, příspěvková organizace";"SŠ obchodu, řemesel, služeb a ZŠ";"Keplerova";"315";"7";"Krásné Březno";"40007";"Ústí nad Labem";"475 669 150";"475 620 268";"reditel@obchodniskola.cz";"ekonom@obchodniskola.cz";"http://www.obchodniskola.cz";"Mgr. Pavel Caitaml";"181024756";"G21";"Školní družina";"Fügnerova";"348";"22";"Trmice";"40004";"Trmice";"32"
"600011429";"82627";"7";"CZ0427";"4214";"Střední škola obchodu, řemesel, služeb a Základní škola, Ústí nad Labem, příspěvková organizace";"SŠ obchodu, řemesel, služeb a ZŠ";"Keplerova";"315";"7";"Krásné Březno";"40007";"Ústí nad Labem";"475 669 150";"475 620 268";"reditel@obchodniskola.cz";"ekonom@obchodniskola.cz";"http://www.obchodniskola.cz";"Mgr. Pavel Caitaml";"110021347";"L11";"Školní jídelna";"Slepá ulička";"75";"2";"Trmice";"40004";"Trmice";"200"
"600014151";"60680377";"7";"CZ0624";"6211";"Gymnázium a Střední odborná škola Mikulov, příspěvková organizace";"Gymnázium a SOŠ";"Komenského";"273";"7";"Mikulov";"69216";"Mikulov";"519 510 580";"není";"gym.mikulov@bv.orgman.cz";"";"http://www.gssmikulov.cz";"PaedDr. Stanislav Svoboda";"559091";"C00";"Střední škola";"Komenského";"273";"7";"Mikulov";"69216";"Mikulov";"800"
"600014151";"60680377";"7";"CZ0624";"6211";"Gymnázium a Střední odborná škola Mikulov, příspěvková organizace";"Gymnázium a SOŠ";"Komenského";"273";"7";"Mikulov";"69216";"Mikulov";"519 510 580";"není";"gym.mikulov@bv.orgman.cz";"";"http://www.gssmikulov.cz";"PaedDr. Stanislav Svoboda";"110016416";"H22";"Domov mládeže";"Vídeňská";"871";"48";"Mikulov";"69201";"Mikulov";"37"
"600014151";"60680377";"7";"CZ0624";"6211";"Gymnázium a Střední odborná škola Mikulov, příspěvková organizace";"Gymnázium a SOŠ";"Komenského";"273";"7";"Mikulov";"69216";"Mikulov";"519 510 580";"není";"gym.mikulov@bv.orgman.cz";"";"http://www.gssmikulov.cz";"PaedDr. Stanislav Svoboda";"110023749";"L11";"Školní jídelna";"Komenského";"296";"8";"Mikulov";"69201";"Mikulov";"750"
"600014461";"545121";"7";"CZ0724";"7213";"Střední škola gastronomie a obchodu Zlín";"Střední škola gastronomie a obchodu";"Štefánikova";"3015";"";"Zlín";"76001";"Zlín";"577 210 084";"577 210 084";"skola@gaozl.cz";"";"www.gaozl.cz";"Mgr. Ivan Kovář";"107870479";"C00";"Střední škola";"Štefánikova";"3015";"";"Zlín";"76001";"Zlín";"600"
"600014649";"53163";"7";"CZ0625";"6210";"Střední odborné učiliště Kyjov, příspěvková organizace";"Střední odborné učiliště";"Havlíčkova";"1223";"17";"Kyjov";"69701";"Kyjov";"518 615 109";"518 615 109";"sou@soukyjov.cz";"kois@soukyjov.cz";"www.soukyjov.cz";"RNDr. Petr Koiš, Ph.D.";"53163";"C00";"Střední škola";"Havlíčkova";"1223";"17";"Kyjov";"69701";"Kyjov";"665"
"600014649";"53163";"7";"CZ0625";"6210";"Střední odborné učiliště Kyjov, příspěvková organizace";"Střední odborné učiliště";"Havlíčkova";"1223";"17";"Kyjov";"69701";"Kyjov";"518 615 109";"518 615 109";"sou@soukyjov.cz";"kois@soukyjov.cz";"www.soukyjov.cz";"RNDr. Petr Koiš, Ph.D.";"150075201";"L11";"Školní jídelna";"Ivana Javora";"3018";"9";"Boršov";"69701";"Kyjov";"350"
"600015092";"47934832";"7";"CZ0721";"7203";"Střední škola hotelová a služeb Kroměříž";"SŠ hotelová a služeb Kroměříž";"Na Lindovce";"1463";"1";"Kroměříž";"76701";"Kroměříž";"573 504 511";"576 504 555";"hajny@hskm.cz";"skola@hskm.cz";"www.hskm.cz";"Ing. Petr Hajný";"107870878";"C00";"Střední škola";"Na Lindovce";"1463";"1";"Kroměříž";"76701";"Kroměříž";"1100"
"600015092";"47934832";"7";"CZ0721";"7203";"Střední škola hotelová a služeb Kroměříž";"SŠ hotelová a služeb Kroměříž";"Na Lindovce";"1463";"1";"Kroměříž";"76701";"Kroměříž";"573 504 511";"576 504 555";"hajny@hskm.cz";"skola@hskm.cz";"www.hskm.cz";"Ing. Petr Hajný";"108041344";"H22";"Domov mládeže";"Na Lindovce";"1463";"1";"Kroměříž";"76701";"Kroměříž";"680"
"600015092";"47934832";"7";"CZ0721";"7203";"Střední škola hotelová a služeb Kroměříž";"SŠ hotelová a služeb Kroměříž";"Na Lindovce";"1463";"1";"Kroměříž";"76701";"Kroměříž";"573 504 511";"576 504 555";"hajny@hskm.cz";"skola@hskm.cz";"www.hskm.cz";"Ing. Petr Hajný";"102142394";"L11";"Školní jídelna";"Na Lindovce";"1463";"1";"Kroměříž";"76701";"Kroměříž";"1800"
"600015611";"25318390";"5";"CZ0722";"7207";"MESIT střední škola, o.p.s.";"MESIT střední škola, o.p.s.";"Družstevní";"818";"";"Mařatice";"68605";"Uherské Hradiště";"572 433 620";"572 433 637";"reditel@skolamesit.cz";"";"www.skola.mesit.cz";"Mgr. František Mikulášek";"60370505";"C00";"Střední škola";"Družstevní";"818";"";"Mařatice";"68605";"Uherské Hradiště";"640"
"600015611";"25318390";"5";"CZ0722";"7207";"MESIT střední škola, o.p.s.";"MESIT střední škola, o.p.s.";"Družstevní";"818";"";"Mařatice";"68605";"Uherské Hradiště";"572 433 620";"572 433 637";"reditel@skolamesit.cz";"";"www.skola.mesit.cz";"Mgr. František Mikulášek";"181033381";"L13";"Školní jídelna - výdejna";"Družstevní";"818";"";"Mařatice";"68605";"Uherské Hradiště";"140"
"600018253";"13643878";"7";"CZ0723";"7212";"Střední odborná škola Josefa Sousedíka Vsetín";"SOŠ Josefa Sousedíka Vsetín";"Benátky";"1779";"";"Vsetín";"75501";"Vsetín";"575 755 011";"575 755 046";"info@sosvsetin.cz";"";"www.sosvsetin.cz";"Mgr. Josef Slovák";"13643878";"C00";"Střední škola";"Benátky";"1779";"";"Vsetín";"75501";"Vsetín";"1250"
"600018253";"13643878";"7";"CZ0723";"7212";"Střední odborná škola Josefa Sousedíka Vsetín";"SOŠ Josefa Sousedíka Vsetín";"Benátky";"1779";"";"Vsetín";"75501";"Vsetín";"575 755 011";"575 755 046";"info@sosvsetin.cz";"";"www.sosvsetin.cz";"Mgr. Josef Slovák";"110014791";"L11";"Školní jídelna";"Benátky";"1779";"";"Vsetín";"75501";"Vsetín";"1300"
"600018253";"13643878";"7";"CZ0723";"7212";"Střední odborná škola Josefa Sousedíka Vsetín";"SOŠ Josefa Sousedíka Vsetín";"Benátky";"1779";"";"Vsetín";"75501";"Vsetín";"575 755 011";"575 755 046";"info@sosvsetin.cz";"";"www.sosvsetin.cz";"Mgr. Josef Slovák";"150073721";"L13";"ŠJ - výdejna";"Bobrky";"466";"";"Vsetín";"75501";"Vsetín";"100"
"600020711";"47611162";"6";"CZ0111";"1101";"Dívčí katolická střední škola";"Dívčí katolická střední škola";"Platnéřská";"191";"4";"Staré Město";"11000";"Praha 1";"221 108 268,604451423";"221 108 272";"divciskola@divciskola.cz";"hosek@divciskola.cz; civin@divciskola.cz";"http://www.divciskola.cz";"Mgr. Luboš Hošek";"47611162";"C00";"Střední škola";"Platnéřská";"191";"4";"Staré Město";"11000";"Praha 1";"52"
"600020711";"47611162";"6";"CZ0111";"1101";"Dívčí katolická střední škola";"Dívčí katolická střední škola";"Platnéřská";"191";"4";"Staré Město";"11000";"Praha 1";"221 108 268,604451423";"221 108 272";"divciskola@divciskola.cz";"hosek@divciskola.cz; civin@divciskola.cz";"http://www.divciskola.cz";"Mgr. Luboš Hošek";"181023245";"G11";"Dům dětí a mládeže";"Platnéřská";"191";"4";"Staré Město";"11000";"Praha 1";"0"
"600020720";"60436107";"7";"CZ0111";"1101";"Základní škola a Střední škola Karla Herforta, fakultní škola Pedagogické fakulty UK, Praha 1, Josefská 4";"ZŠ a SŠ K.Herforta, fakultní škola PFUK";"Josefská";"43";"4";"Malá Strana";"11800";"Praha 1";"257 531 250";"257 531 250";"jos4@atlas.cz";"";"http://www.herfort.cz";"PaedDr. Dana Čapková";"60436107";"B00";"Základní škola";"Josefská";"43";"4";"Malá Strana";"11800";"Praha 1";"90"
"600020720";"60436107";"7";"CZ0111";"1101";"Základní škola a Střední škola Karla Herforta, fakultní škola Pedagogické fakulty UK, Praha 1, Josefská 4";"ZŠ a SŠ K.Herforta, fakultní škola PFUK";"Josefská";"43";"4";"Malá Strana";"11800";"Praha 1";"257 531 250";"257 531 250";"jos4@atlas.cz";"";"http://www.herfort.cz";"PaedDr. Dana Čapková";"110025741";"C00";"Střední škola";"Josefská";"43";"4";"Malá Strana";"11800";"Praha 1";"65"
"600020720";"60436107";"7";"CZ0111";"1101";"Základní škola a Střední škola Karla Herforta, fakultní škola Pedagogické fakulty UK, Praha 1, Josefská 4";"ZŠ a SŠ K.Herforta, fakultní škola PFUK";"Josefská";"43";"4";"Malá Strana";"11800";"Praha 1";"257 531 250";"257 531 250";"jos4@atlas.cz";"";"http://www.herfort.cz";"PaedDr. Dana Čapková";"110025733";"G21";"Školní družina";"Josefská";"43";"4";"Malá Strana";"11800";"Praha 1";"38"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"110350324";"A00";"Mateřská škola";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"16"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"48134546";"B00";"Základní škola";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"85"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"110036166";"C00";"Střední škola";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"24"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"151040796";"F10";"Základní umělecká škola";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"80"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"110011180";"G21";"Školní družina";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"18"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"150008988";"G22";"Školní klub";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"18"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"110011171";"H21";"Internát";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"52"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"110011198";"K20";"Speciálně pedagog.centrum";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"150"
"600020746";"48134546";"1";"CZ0111";"1101";"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17";"Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"220 515 264";"220 515 124";"info@skolajj.cz";"";"www.skolajj.cz";"Mgr. Jan Hájek";"102413002";"L11";"Školní jídelna";"Loretánská";"104";"19";"Hradčany";"11800";"Praha 1";"130"
"600020789";"61389447";"7";"CZ0112";"1102";"Základní škola a Střední škola, Praha 2, Vinohradská 54";"Základní škola a Střední škola";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"224 254 257,602315044";"222 513 853";"skola@skolavinohradska.cz";"stanislav.drbout@skolavinohradska.cz";"http://www.skolavinohradska.cz";"PaedDr. Stanislav Drbout";"102037914";"B00";"Základní škola";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"140"
"600020789";"61389447";"7";"CZ0112";"1102";"Základní škola a Střední škola, Praha 2, Vinohradská 54";"Základní škola a Střední škola";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"224 254 257,602315044";"222 513 853";"skola@skolavinohradska.cz";"stanislav.drbout@skolavinohradska.cz";"http://www.skolavinohradska.cz";"PaedDr. Stanislav Drbout";"110001699";"C00";"Střední škola";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"48"
"600020789";"61389447";"7";"CZ0112";"1102";"Základní škola a Střední škola, Praha 2, Vinohradská 54";"Základní škola a Střední škola";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"224 254 257,602315044";"222 513 853";"skola@skolavinohradska.cz";"stanislav.drbout@skolavinohradska.cz";"http://www.skolavinohradska.cz";"PaedDr. Stanislav Drbout";"110001702";"G21";"Školní družina";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"70"
"600020789";"61389447";"7";"CZ0112";"1102";"Základní škola a Střední škola, Praha 2, Vinohradská 54";"Základní škola a Střední škola";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"224 254 257,602315044";"222 513 853";"skola@skolavinohradska.cz";"stanislav.drbout@skolavinohradska.cz";"http://www.skolavinohradska.cz";"PaedDr. Stanislav Drbout";"108000036";"K20";"Speciálně pedagog.centrum";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"429"
"600020789";"61389447";"7";"CZ0112";"1102";"Základní škola a Střední škola, Praha 2, Vinohradská 54";"Základní škola a Střední škola";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"224 254 257,602315044";"222 513 853";"skola@skolavinohradska.cz";"stanislav.drbout@skolavinohradska.cz";"http://www.skolavinohradska.cz";"PaedDr. Stanislav Drbout";"110000595";"L11";"Školní jídelna";"Vinohradská";"920";"54";"Vinohrady";"12000";"Praha 2";"120"
"600020827";"60436735";"7";"CZ0112";"1102";"Odborné učiliště Vyšehrad";"Odborné učiliště Vyšehrad";"Vratislavova";"31";"6";"Vyšehrad";"12800";"Praha 2";"224 921 825,737841695";"224 920 683";"info@ouvysehrad.cz";"filip@ouvysehrad.cz";"http://www.ouvysehrad.cz";"Mgr. Josef Filip";"60436735";"C00";"Střední škola";"Vratislavova";"31";"6";"Vyšehrad";"12800";"Praha 2";"600"
